"ID","category","fuel","scientific_name","states"
756,"Forb","Yellow Sweetclover","Melilotus officinalis","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, CA"
757,"Shrub","Yerba Santa, California","Eriodictyon californicum","OR, CA"
758,"Shrub","Yew, Canada","Taxus canadensis","CT, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV"
759,"Tree","Yew, English","Taxus baccata","DC, MA, NY, PA, WA"
760,"Tree","Yew, Florida","Taxus floridana","FL"
761,"Tree","Yew, Pacific","Taxus brevifolia","AK, ID, MT, NV, OR, WA, CA"
762,"Tree","Yucca, Aloe","Yucca aloifolia","AL, FL, GA, LA, MS, NC, SC, PR, VI"
763,"Shrub","Yucca, Banana","Yucca baccata","AZ, CO, NM, NV, TX, UT, CA"
764,"Forb","Yucca, Chaparral","Hesperoyucca whipplei","AZ, CA"
765,"Tree","Yucca, Mojave","Yucca schidigera","AZ, NV, UT, CA"
766,"Tree","Yucca, Soaptree","Yucca elata","AZ, NM, NV, TX, UT"
767,"Shrub","Yucca, Soapweed","Yucca glauca","AR, CO, IA, KS, MO, MT, ND, NE, NM, OK, SD, TX, WY"
768,"Shrub","Kinnikinnick","Arctostaphylos uva-ursi","AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, MH, NJ, NM NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WY"
769,"Shrub","Silktassel, Wrights","Garrya wrightii","AZ, NM, TX"
770,"Grass","Needle and Thread","Hesperostipa comata","AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, NY, OK, OR, RI, SD, TX, UT, WA, WI, WY"
771,"Shrub","Whortleberry, Grouse","Vaccinium scoparium","CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY"
772,"Shrub","Arrowweed","Pluchea sericea","AZ, CA, NM, NV, TX, UT"
773,"Shrub","Agarito","Mahonia trifoliolata (Moric.) Fedde algerita","AZ, NM, TX"
774,"Tree","Bluewood, Brazilian","Condalia hookeri","TX"
775,"Tree","Sumac, Evergreen","Rhus virens Lindh. ex A. Gray var. virens","NM, TX"
776,"Tree","Pricklyash, Lime","Zanthoxylum fagara (L.) Sarg.","FL, TX"
777,"Grass","Grama, Sideoats","Bouteloua curtipendula","AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY"
778,"Shrub","Tea, Labrador","Ledum palustre L.","AK"
779,"Shrub","Cranberry, lowbush","Vaccinium vitis-idaea L.","AK, CT, MA, ME, MI, MN, NH, VT, WI"
780,"Shrub","Cranberry, mountain","Vaccinium vitis-idaea L. ssp. minus (Lodd.) Hulten","AK, CT, MA, ME, MI, MN, NH, VT, WI"
781,"Shrub","Blueberry","Vaccinium L.","AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, NV, NY, 0H, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
782,"Shrub","Forage kochia","Kochia prostrata","AZ, CO, ID, NM, NV, OR, MT, UT, WY"
783,"Grass","Guinea grass","Urochloa maxima","AL, AR, CA, FL, GA, LA, OK, PR, TX"
