"ID","category","fuel","scientific_name","states"
245,"Tree","Hickory, Shellbark","Carya laciniosa","AL, AR, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NY, OH, OK, PA, SC, TN, TX, VA, WV"
246,"Tree","Holly, American","Ilex opaca","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV"
247,"Tree","Holly, Carolina","Ilex ambigua","AL, AR, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, V"
248,"Tree","Holly, Chinese","Ilex cornuta","AL, NC"
249,"Shrub","Hollyhock, Streambank Wild","Iliamna rivularis","CO, ID, IL, IN, MT, NV, OR, UT, VA, WA, WY"
250,"Shrub","Honeysuckle, Amur","Lonicera maackii","AR, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MO, MS, NC, ND, NE, NJ, NY, OH, PA, SC, TN, TX, VA, WI, WV"
251,"Shrub","Honeysuckle, Northern Bush","Diervilla lonicera","AL, CT, DE, GA, IA, IL, IN, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV"
252,"Shrub","Honeysuckle, Utah","Lonicera utahensis","AZ, ID, MT, NM, OR, UT, WA, WY"
253,"Shrub","Huckleberry, Bear","Gaylussacia ursina","GA, NC, SC, TN"
254,"Shrub","Huckleberry, Black","Gaylussacia baccata","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
255,"Shrub","Huckleberry, Blue","Gaylussacia frondosa","AL, CT, DC, DE, GA, MA, MD, MS, NC, NH, NJ, NY, PA, RI, SC, TN, VA, WV"
256,"Shrub","Huckleberry, California","Vaccinium ovatum","OR, WA"
257,"Shrub","Huckleberry, Red","Vaccinium parvifolium","AK, OR, WA"
258,"Shrub","Huckleberry, Thinleaf","Vaccinium membranaceum","AZ, CO, ID, MI, MN, MT, OR, SD, UT, WA, WY, CA"
259,"Forb","Hyssop, Cusicks","Agastache cusickii","ID, MT, NV, OR"
260,"Shrub","Hyssop, Smallleaf Giant","Agastache parvifolia","CA"
261,"Grass","Indian Ricegrass","Achnatherum hymenoides","AR, AZ, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY, CA"
262,"Grass","Indiangrass","Sorghastrum nutans","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY"
263,"Forb","Indianhemp","Apocynum cannabinum","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
264,"Grass","Johnson Grass","Sorghum halepense","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, CA"
265,"Shrub","Jojoba","Simmondsia chinensis","AZ, UT, CA"
266,"Tree","Joshua Tree","Yucca brevifolia","AZ, NV, UT, CA"
267,"Grass","Junegrass, Prairie","Koeleria macrantha","AK, AL, AR, AZ, CO, DE, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, VT, WA, WI, WY, CA"
268,"Tree","Juniper, Alligator","Juniperus deppeana","AZ, NM, TX"
269,"Tree","Juniper, Ashe","Juniperus ashei","AR, MO, OK, TX"
270,"Tree","Juniper, California","Juniperus californica","AZ, NV, CA"
271,"Tree","Juniper, Common","Juniperus communis","AK, AL, AZ, CO, CT, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, UT, VA, VT, WA, WI, WV, WY, CA"
272,"Shrub","Juniper, Creeping","Juniperus horizontalis Moench","AK, CT, IA, IL, MA, ME, MI, MN, MT, ND, NE, NH, NY, RI, SD, VT, WI, WY"
273,"Tree","Juniper, Drooping","Juniperus flaccida","TX"
274,"Tree","Juniper, Oneseed","Juniperus monosperma","AZ, CO, NM, OK, TX, UT"
275,"Tree","Juniper, Pinchot","Juniperus pinchotii","NM, OK, TX"
276,"Tree","Juniper, Redberry","Juniperus coahuilensis","AZ, NM, TX"
277,"Tree","Juniper, Rocky Mountain","Juniperus scopulorum","AZ, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY"
278,"Tree","Juniper, Utah","Juniperus osteosperma","AZ, CO, ID, MT, NM, NV, UT, WY, CA"
279,"Tree","Juniper, Western","Juniperus occidentalis","ID, NV, OR, WA, CA"
280,"Forb","Knapweed, Diffuse","Centaurea diffusa","AZ, CO, CT, IA, ID, IL, IN, KY, MA, MI, MO, MT, NE, NJ, NM, NV, OH, OR, TN, UT, WA, WI, WY, CA"
281,"Forb","Knapweed, Russian","Centaurea repens","AR, AZ, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, OH, OK, OR, SD, TX, UT, WA, WI, WY, CA"
282,"Forb","Knapweed, Spotted","Centaurea stoebe","AZ, CO, CT, FL, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY, CA"
283,"Grass","Knotgrass","Paspalum distichum","AL, AR, AZ, FL, GA, HI, ID, KS, KY, LA, MD, MO, MS, NC, NJ, NM, NV, OK, OR, PA, SC, TN, TX, UT, VA, WA, PR, VI, CA"
284,"Tree","Larch, European","Larix decidua","CT, IL, MA, MD, ME, MI, MN, NC, NH, NJ, NY, PA, RI, VA, VT"
285,"Tree","Larch, Subalpine","Larix lyallii","ID, MT, WA"
286,"Tree","Larch, Western","Larix occidentalis","ID, MT, OR, UT, WA, WY"
287,"Tree","Laurel, California","Umbellularia californica","OR, CA"
288,"Tree","Laurel, Mountain","Kalmia latifolia","AL, CT, DC, DE, FL, GA, IN, KY, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV"
289,"Shrub","Lewis Mock Orange","Philadelphus lewisii","ID, MT, OR, WA, CA"
290,"Tree","Locust, Black","Robinia pseudoacacia","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
291,"Tree","Locust, Honey","Gleditsia triacanthos","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY, CA"
292,"Grass","Lovegrass, Plains","Eragrostis intermedia","AL, AR, AZ, FL, GA, KS, LA, MA, ME, MO, MS, NC, NM, OK, SC, TN, TX, VA, CA"
293,"Grass","Lovegrass, Purple","Eragrostis spectabilis","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY"
294,"Grass","Lovegrass, Weeping","Eragrostis curvula","AL, AR, AZ, CO, DE, FL, GA, HI, IL, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WV, PR, CA"
295,"Forb","Lupine, Broadleaf","Lupinus latifolius","AZ, NM, NV, OR, UT, WA, CA"
296,"Tree","Madrone, Arizona","Arbutus arizonica","AZ, NM"
297,"Tree","Madrone, Pacific","Arbutus menziesii","OR, WA"
298,"Tree","Madrone, Texas","Arbutus xalapensis","NM, TX"
299,"Tree","Magnolia, Southern","Magnolia grandiflora","AL, AR, FL, GA, LA, MD, MS, NC, SC, TN, TX, VA, PR"
300,"Tree","Mahogany, Alderleaf Mountain","Cercocarpus montanus","AZ, CO, ID, KS, MT, NE, NM, NV, OK, OR, SD, TX, UT, WY, CA"
301,"Tree","Mahogany, Birchleaf Mountain","Cercocarpus montanus var. glaber","AZ, CA, MT, OR"
302,"Tree","Mahogany, Curl-Leaf Mountain","Cercocarpus ledifolius","AZ, CO, ID, MT, NV, OR, UT, WA, WY, CA"
303,"Tree","Mahogany, Honduras","Swietenia macrophylla","HI"
304,"Tree","Mahogany, West Indian","Swietenia mahagoni","FL, HI, PR, VI"
305,"Grass","Maidencane","Panicum hemitomon Shult.","AL, DE, FL, GA, LA, MD, MS, NC, NJ, SC, TN, TX, VA"
306,"Forb","Maidenhair, Northern","Adiantum pedatum","AK, AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV"
307,"Tree","Mangrove, White","Laguncularia racemosa","FL, PR, VI"
308,"Grass","Mannagrass, Atlantic","Glyceria obtusa","CT, DC, DE, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA"
309,"Grass","Mannagrass, Fowl","Glyceria striata","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
310,"Grass","Mannagrass, Melic","Glyceria melicaria","AL, CT, GA, KY, MA, MD, ME, MS, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WV"
311,"Grass","Mannagrass, Rattlesnake","Glyceria canadensis","CT, DC, DE, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, OR, PA, RI, VA, VT, WA, WI, WV"
312,"Grass","Mannagrass, Small Floating","Glyceria borealis","AK, AZ, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY, CA"
313,"Tree","Manzanita, Bigberry","Arctostaphylos glauca","CA"
314,"Shrub","Manzanita, Eastwoods","Arctostaphylos glandulosa","OR, CA"
315,"Shrub","Manzanita, Greenleaf","Arctostaphylos patula","AZ, CO, MT, NM, NV, OR, UT, WA, CA"
316,"Tree","Manzanita, Hairy","Arctostaphylos columbiana","OR, WA"
317,"Shrub","Manzanita, Pinemat","Arctostaphylos nevadensis","NV, OR, WA, CA"
318,"Shrub","Manzanita, Pointleaf","Arctostaphylos pungens","AZ, NM, NV, TX, UT, CA"
319,"Shrub","Manzanita, Whiteleaf","Arctostaphylos manzanita","CA, OR"
320,"Tree","Maple, Amur","Acer ginnala","CT, IA, IL, KY, MA, ME, MI, MN, ND, NH, NY, OH, PA, VT, WI"
321,"Tree","Maple, Bigleaf","Acer macrophyllum","OR, WA"
322,"Tree","Maple, Bigtooth","Acer grandidentatum","AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY"
323,"Tree","Maple, Black","Acer nigrum","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV"
324,"Tree","Maple, Douglas","Acer glabrum var. douglasii","AK, ID, MT, NV, OR, WA, WY, CA"
325,"Tree","Maple, Mountain","Acer spicatum","AL, CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV"
326,"Tree","Maple, Norway","Acer platanoides","CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV"
327,"Tree","Maple, Red","Acer rubrum","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
328,"Tree","Maple, Rocky Mountain","Acer glabrum","AK, AZ, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY, CA"
329,"Tree","Maple, Southern Sugar","Acer barbatum","AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA"
330,"Tree","Maple, Striped","Acer pensylvanicum","CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
331,"Tree","Maple, Sugar","Acer saccharum","AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV"
332,"Tree","Maple, Sycamore","Acer pseudoplatanus","CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI"
333,"Tree","Maple, Vine","Acer circinatum","AK, OR, WA"
334,"Tree","Mescal Bean","Sophora secundiflora","NM, TX"
335,"Grass","Mesquite, Curly","Hilaria belangeri","AZ, NM, TX"
336,"Tree","Mesquite, Honey","Prosopis glandulosa","AZ, CO, KS, LA, MO, NM, NV, OK, TX, UT, CA"
337,"Tree","Mesquite, Screwbean","Prosopis pubescens","AZ, NM, NV, TX, UT, CA"
338,"Tree","Mesquite, Velvet","Prosopis velutina","AZ, NM, CA"
339,"Grass","Mesquite, Vine","Panicum obtusum","AR, AZ, CO, IL, KS, MO, NM, OK, TX, UT"
340,"CFFDRS","Moss, Dead (DMC)",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
341,"CFFDRS","Moss, Live (FFMC)",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
342,"Tree","Mountain Ash, American","Sorbus americana","CT, GA, IL, MA, MD, ME, MI, MN, NC, NH, NJ, NY, PA, RI, SC, TN, VA, VT, WI, WV"
343,"Tree","Mountain Ash, European","Sorbus aucuparia","AK, CT, DC, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, PA, RI, SC, UT, VT, WA, WI, WV, WY, CA"
344,"Tree","Mountain Ash, Greenes","Sorbus scopulina","AK, AZ, CO, ID, MT, ND, NM, NV, OR, SD, UT, WA, WY, CA"
345,"Tree","Mountain Ash, Northern","Sorbus decora","CT, IA, IL, IN, MA, ME, MI, MN, NH, NY, OH, PA, VT, WI"
346,"Tree","Mountain Ash, Sitka","Sorbus sitchensis","AK, ID, MT, OR, WA, CA"
347,"Tree","Mountain Ash, Western","Sorbus sitchensis var. grayi","AK, OR, WA, CA"
348,"Grass","Muhly, Bog","Muhlenbergia uniflora","CT, MA, ME, MI, MN, NH, NJ, NY, OR, PA, RI, VT, WI"
349,"Grass","Muhly, Bush","Muhlenbergia porteri","AZ, CO, NM, NV, OK, TX, UT, CA"
350,"Grass","Muhly, Creeping","Muhlenbergia repens","AZ, CO, NM, TX, UT"
351,"Grass","Muhly, Hairawn","Muhlenbergia capillaris","AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV, PR"
352,"Grass","Muhly, Marsh","Muhlenbergia racemosa","AZ, CO, IA, ID, IL, IN, KS, ME, MI, MN, MO, MT, ND, NE, NH, NM, NV, OK, OR, SD, TX, UT, VA, VT, WA, WI, WY"
353,"Grass","Muhly, Mat","Muhlenbergia richardsonis","AK, AZ, CO, ID, ME, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WI, WY, CA"
354,"Grass","Muhly, Mexican","Muhlenbergia mexicana","AL, AR, AZ, CO, CT, DE, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
355,"Grass","Muhly, Mountain","Muhlenbergia montana","AZ, CO, MT, NM, TX, UT, WY, CA"
356,"Grass","Muhly, Plains","Muhlenbergia cuspidata","AR, CO, IA, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, TN, VA, WI, WY"
357,"Grass","Muhly, Sandhill","Muhlenbergia pungens","AZ, CO, NE, NM, SD, TX, UT, WY"
358,"Grass","Muhly, Spike","Muhlenbergia wrightii","AZ, CO, NM, OK, TX, UT"
359,"Grass","Muhly, Spiked","Muhlenbergia glomerata","CO, CT, DC, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY"
360,"Grass","Muhly, Wirestem","Muhlenbergia frondosa","AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV"
361,"Grass","Muhly, Woodland","Muhlenbergia sylvatica","AL, AR, AZ, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
362,"Tree","Mulberry, Indian","Morinda citrifolia","FL, HI, PR, VI"
363,"Tree","Mulberry, Red","Morus rubra","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
364,"Tree","Mulberry, White","Morus alba","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
365,"Forb","Mule Ears","Wyethia amplexicaulis","CO, ID, MT, NV, OR, UT, WA, WY"
366,"Tree","Myrtle, Wax","Morella cerifera","AL, AR, DE, FL, GA, HI, LA, MD, MS, NC, NJ, OK, SC, TX, VA, WV, PR"
367,"Grass","Needlegrass, Columbia","Achnatherum nelsonii","AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY, CA"
368,"Grass","Needlegrass, Desert","Achnatherum speciosum","AZ, CO, NM, NV, OR, UT, CA"
369,"Grass","Needlegrass, Dore","Achnatherum nelsonii ssp. dorei","AZ, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY, CA"
370,"Grass","Needlegrass, Foothill","Nassella lepida","CA"
371,"Grass","Needlegrass, Green","Nassella viridula","AZ, CO, IA, ID, IL, KS, MN, MT, ND, NE, NM, NY, SD, UT, WI, WY, CA"
372,"Grass","Needlegrass, Nodding","Nassella cernua","HI, CA"
373,"Grass","Needlegrass, Purple","Nassella pulchra","CA"
374,"Grass","Needlegrass, Richardson","Achnatherum richardsonii","AK, CO, ID, MT, SD, WA, WY"
375,"Grass","Needlegrass, Sierra False","Ptilagrostis kingii","CA"
376,"Grass","Needlegrass, Western","Achnatherum occidentale ssp. occidentale","CA"
377,"Tree","Nettletree, Jamaican","Trema micrantha","FL, PR, VI"
378,"Shrub","Ninebark, Pacific","Physocarpus capitatus","AK, ID, OR, WA, CA"
379,"Tree","Nutmeg, Florida","Torreya taxifolia","FL, GA)"
380,"Tree","Oak, Arizona White","Quercus arizonica","AZ, NM, TX"
381,"Tree","Oak, Bear","Quercus ilicifolia","CT, DE, MA, MD, ME, NC, NH, NJ, NY, PA, RI, VA, VT, WV"
382,"Tree","Oak, Black","Quercus velutina","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
383,"Tree","Oak, Blackjack","Quercus marilandica","AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV"
384,"Tree","Oak, Blue","Quercus douglasii","CA"
385,"Tree","Oak, Bluejack","Quercus incana","AL, AR, FL, GA, LA, MS, NC, OK, SC, TX, VA"
386,"Tree","Oak, Bur","Quercus macrocarpa","AL, AR, CT, DC, DE, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV, WY"
387,"Tree","Oak, California Black","Quercus kelloggii","OR, CA"
388,"Tree","Oak, California Live","Quercus agrifolia","CA"
389,"Tree","Oak, Canyon Live","Quercus chrysolepis","AZ, NM, NV, OR, CA"
390,"Tree","Oak, Cherrybark","Quercus pagoda","AL, AR, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA"
391,"Tree","Oak, Chestnut","Quercus prinus","AL, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV"
392,"Tree","Oak, Chinkapin","Quercus muehlenbergii","AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV"
393,"Tree","Oak, Coastal Sage Scrub","Quercus dumosa","CA"
394,"Tree","Oak, Emory","Quercus emoryi","AZ, NM, TX"
395,"Tree","Oak, Gambel","Quercus gambelii","AZ, CO, NM, NV, OK, SD, TX, UT, WY"
396,"Tree","Oak, Gray","Quercus grisea","AZ, CO, NM, TX"
397,"Tree","Oak, Harvard","Quercus havardii","AZ, CO, KS, NM, OK, TX, UT"
398,"Shrub","Oak, Huckleberry","Quercus vacciniifolia","NV, OR, CA"
399,"Tree","Oak, Interior Live","Quercus wislizeni","CA"
400,"Tree","Oak, Laurel","Quercus laurifolia","AL, AR, FL, GA, LA, MD, MS, NC, PA, SC, TX, VA"
401,"Tree","Oak, Live","Quercus virginiana","AL, FL, GA, LA, MS, NC, SC, TX, VA"
402,"Tree","Oak, Mexican Blue","Quercus oblongifolia","AZ, NM, TX"
403,"Tree","Oak, Northern Pin","Quercus ellipsoidalis","IA, IL, IN, MI, MN, MO, ND, OH, WI"
404,"Tree","Oak, Northern Red","Quercus rubra","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV"
405,"Tree","Oak, Oregon White","Quercus garryana","OR, WA"
406,"Tree","Oak, Overcup","Quercus lyrata","AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA"
407,"Tree","Oak, Pin","Quercus palustris","AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, TN, VA, WI, WV"
408,"Tree","Oak, Post","Quercus stellata","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV"
409,"Tree","Oak, Pungent","Quercus pungens","AZ, NM, TX"
410,"Shrub","Oak, Running","Quercus pumila","AL, FL, GA, MS, NC, SC"
411,"Tree","Oak, Scarlet","Quercus coccinea","AL, AR, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
412,"Tree","Oak, Shingle","Quercus imbricaria","AL, AR, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, TN, VA, WV"
413,"Tree","Oak, Shumards","Quercus shumardii","AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV"
414,"Tree","Oak, Silverleaf","Quercus hipoleucoides A. Camus","AZ, NM, TX"
415,"Tree","Oak, Sonoran Scrub","Quercus turbinella","AZ, CO, NM, NV, TX, UT, CA"
416,"Tree","Oak, Southern Red","Quercus falcata","AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV"
417,"Tree","Oak, Swamp Chestnut","Quercus michauxii","AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA"
418,"Tree","Oak, Swamp White","Quercus bicolor","AL, CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
419,"Tree","Oak, Texas Red","Quercus texana","AL, AR, IL, KY, LA, MO, MS, TN, TX"
420,"Tree","Oak, Turkey","Quercus laevis","AL, FL, GA, LA, MS, NC, SC, VA"
421,"Tree","Oak, Valley","Quercus lobata","CA"
422,"Tree","Oak, Water","Quercus nigra","AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA"
423,"Tree","Oak, White","Quercus alba","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
424,"Tree","Oak, Willow","Quercus phellos","AL, AR, CT, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA"
425,"Grass","Oatgrass, Flattened","Danthonia compressa","AK, AL, AR, CT, DC, DE, GA, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV"
426,"Grass","Oatgrass, Timber","Danthonia intermedia","AK, AZ, CO, ID, MI, MT, NM, NV, OR, SD, UT, WA, WY, CA"
427,"Shrub","Olive, Autumn","Elaeagnus umbellata","AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV"
